Year;Week;Time;Mortality;Influenza;Temperature deficit 
1996;13;1996,230769;1738;0;0,0
1996;14;1996,25;1742;0;0,0
1996;15;1996,269231;1783;0;0,0
1996;16;1996,288462;1715;0;0,0
1996;17;1996,307692;1739;0;0,0
1996;18;1996,326923;1685;0;0,0
1996;19;1996,346154;1692;0;0,0
1996;20;1996,365385;1671;0;0,0
1996;21;1996,384615;1693;0;0,0
1996;22;1996,403846;1670;0;0,0
1996;23;1996,423077;1690;0;0,0
1996;24;1996,442308;1624;0;0,0
1996;25;1996,461538;1653;0;0,0
1996;26;1996,480769;1680;0;0,0
1996;27;1996,5;1626;0;0,0
1996;28;1996,519231;1661;0;0,0
1996;29;1996,538462;1609;0;0,0
1996;30;1996,557692;1643;0;0,0
1996;31;1996,576923;1671;0;0,0
1996;32;1996,596154;1639;0;0,0
1996;33;1996,615385;1534;0;0,0
1996;34;1996,634615;1656;0;0,0
1996;35;1996,653846;1549;0;0,0
1996;36;1996,673077;1535;0;0,0
1996;37;1996,692308;1675;0;0,0
1996;38;1996,711538;1673;0;0,0
1996;39;1996,730769;1740;0;0,0
1996;40;1996,75;1717;0;0,0
1996;41;1996,769231;1705;0;0,0
1996;42;1996,788462;1667;0;0,0
1996;43;1996,807692;1674;0;0,0
1996;44;1996,826923;1688;0;0,0
1996;45;1996,846154;1690;0;0,0
1996;46;1996,865385;1794;1;0,0
1996;47;1996,884615;1766;0;0,0
1996;48;1996,903846;1737;0;0,3
1996;49;1996,923077;1809;1;0,0
1996;50;1996,942308;1836;7;0,0
1996;51;1996,961538;1958;14;5,0
1996;52;1996,980769;2174;39;3,2
1997;1;1997;2202;41;4,9
1997;2;1997,019231;2172;67;3,4
1997;3;1997,038462;2115;67;0,0
1997;4;1997,057692;1992;62;0,0
1997;5;1997,076923;2047;50;0,1
1997;6;1997,096154;2032;43;0,0
1997;7;1997,115385;2080;31;0,9
1997;8;1997,134615;2057;31;0,0
1997;9;1997,153846;1950;17;0,0
1997;10;1997,173077;1822;10;0,0
1997;11;1997,192308;1839;8;0,0
1997;12;1997,211538;1792;4;0,5
1997;13;1997,230769;1800;1;0,0
1997;14;1997,25;1760;0;0,0
1997;15;1997,269231;1746;0;0,0
1997;16;1997,288462;1673;0;0,0
1997;17;1997,307692;1774;0;0,0
1997;18;1997,326923;1766;0;0,0
1997;19;1997,346154;1716;0;0,0
1997;20;1997,365385;1716;0;0,0
1997;21;1997,384615;1719;0;0,0
1997;22;1997,403846;1667;0;0,0
1997;23;1997,423077;1698;0;0,0
1997;24;1997,442308;1722;0;0,0
1997;25;1997,461538;1736;0;0,0
1997;26;1997,480769;1626;0;0,0
1997;27;1997,5;1711;0;0,0
1997;28;1997,519231;1590;0;0,0
1997;29;1997,538462;1682;0;0,0
1997;30;1997,557692;1697;0;0,0
1997;31;1997,576923;1604;0;0,0
1997;32;1997,596154;1620;0;0,0
1997;33;1997,615385;1682;0;0,0
1997;34;1997,634615;1595;0;0,0
1997;35;1997,653846;1662;0;0,0
1997;36;1997,673077;1605;0;0,0
1997;37;1997,692308;1669;0;0,0
1997;38;1997,711538;1756;0;0,0
1997;39;1997,730769;1719;0;0,0
1997;40;1997,75;1752;0;0,0
1997;41;1997,769231;1673;0;0,0
1997;42;1997,788462;1762;0;0,0
1997;43;1997,807692;1730;0;0,0
1997;44;1997,826923;1710;1;0,0
1997;45;1997,846154;1661;0;0,0
1997;46;1997,865385;1655;1;0,0
1997;47;1997,884615;1585;1;0,0
1997;48;1997,903846;1734;2;0,0
1997;49;1997,923077;1731;1;0,2
1997;50;1997,942308;1787;9;0,0
1997;51;1997,961538;1760;6;0,3
1997;52;1997,980769;1923;3;0,0
1998;1;1998;1888;10;0,0
1998;2;1998,019231;1836;1;0,0
1998;3;1998,038462;1802;4;0,0
1998;4;1998,057692;1815;12;0,4
1998;5;1998,076923;1783;14;2,1
1998;6;1998,096154;1868;50;1,0
1998;7;1998,115385;1937;100;0,0
1998;8;1998,134615;2033;197;0,0
1998;9;1998,153846;1995;179;0,0
1998;10;1998,173077;2015;129;0,6
1998;11;1998,192308;1936;162;0,6
1998;12;1998,211538;1935;135;0,0
1998;13;1998,230769;1916;124;0,0
1998;14;1998,25;1909;77;0,0
1998;15;1998,269231;1886;56;0,0
1998;16;1998,288462;1830;34;0,0
1998;17;1998,307692;1868;14;0,0
1998;18;1998,326923;1722;10;0,0
1998;19;1998,346154;1811;0;0,0
1998;20;1998,365385;1644;0;0,0
1998;21;1998,384615;1684;0;0,0
1998;22;1998,403846;1542;0;0,0
1998;23;1998,423077;1615;0;0,0
1998;24;1998,442308;1598;0;0,0
1998;25;1998,461538;1583;0;0,0
1998;26;1998,480769;1724;0;0,0
1998;27;1998,5;1680;0;0,0
